Chemist Level,Chemist,Question,Certitude,Slide_ID,Endpoint,ReferenceID,Correct_Answer,DOI,ID_Paper,Author,scaffold_smiles,ID_Sub_1,best_cpd_id,best_cpd_smiles,ID_Sub_2,cpd2,cpd2 level,cpd2_smiles,ID_sub_3,cpd 3,cpd3 level,cpd3_smiles,ID_Sub_3,total_smiles_1,total_smiles_2,total_smiles_3,total_inchikey_1,total_inchikey_2,total_inchikey_3,Answer
3,Chemist_30,Answer Q38,3,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
2,Chemist_31,Answer Q38,3,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
3,Chemist_32,Answer Q38,3,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,A
1,Chemist_33,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,A
4,Chemist_34,Answer Q38,5,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
1,Chemist_35,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
1,Chemist_36,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
1,Chemist_37,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
2,Chemist_38,Answer Q38,2,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
3,Chemist_39,Answer Q38,3,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
1,Chemist_40,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,A
3,Chemist_41,Answer Q38,2,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
2,Chemist_42,Answer Q38,2,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
1,Chemist_43,Answer Q38,2,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
2,Chemist_44,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
1,Chemist_45,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
1,Chemist_46,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
2,Chemist_47,Answer Q38,2,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
1,Chemist_48,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,A
1,Chemist_49,Answer Q38,2,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
3,Chemist_50,Answer Q38,4,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
1,Chemist_51,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
1,Chemist_52,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
2,Chemist_53,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
2,Chemist_54,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,B
1,Chemist_55,Answer Q38,4,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,A
2,Chemist_56,Answer Q38,1,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,C
1,Chemist_57,Answer Q38,2,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,A
3,Chemist_58,Answer Q38,2,38.0,LogP,19.0,B,https://doi.org/10.1016/j.bmcl.2016.07.011,19,KA,[*]c1nc(cs1)c2ccc(c(F)c2)n3cnc(C)c3,B,34,[*]Nc1cc(nn1CC)C(F)(F)F,A,37,medium,[*]Nc1cc(nn1CC(F)(F)F)C(F)(F)F, ,36,medium/high,[*]Nc1cc(nn1CC(F)(F)F)C(C)(C)C,C,CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(F)c2)cs1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(F)(F)F)nn4CC(F)(F)F)n3)cc2F)cn1,Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,JYVPKNQECOIZTQ-UHFFFAOYSA-N,KHKKPDMEQCQQKW-UHFFFAOYSA-N,JSMAYSMMXGJWGO-UHFFFAOYSA-N,A
